headline,date,description
Evolution’s NetEnt acquisition redundancies ‘no reflection of instability’,"Thursday, 3 December 2020, 10:06","Despite a high number of expected job losses reported from the Evolution Gaming acquisition of NetEnt this week, speaking to the Malta Business Weekly, Gaming Malta Foundation, Chief Operations..."
Local Debenhams trading to continue as normal – United Group,"Thursday, 3 December 2020, 09:46","Local trading operations will continue as normal in both Debenhams stores located at The Point and Mainstreet Paola, despite the news of the collapse of Debenhams UK on Tuesday.  Speaking to..."
MFSA consults on the updated CSP rules,"Tuesday, 1 December 2020, 17:15",The MFSA today launched a consultation document focusing on specific new areas of the proposed updated Rules for Company Service Providers. The updates follow the amendments made to the...
Vaccine – a magical butterfly of hope,"Tuesday, 1 December 2020, 11:46","Governments are understandably desperate for anything that would forestall the deaths, closures and quarantines resulting from Covid-19. Hope for a speedy resolution for devolving, testing and..."
'We must ensure financial stability by being proactive’ MFSA Chief Executive Officer Ad Interim,"Thursday, 26 November 2020, 12:13",“Financial supervision is not a static process but involves continually striving for improvement and acting in response to new challenges. It involves understanding changes and developments in...
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
Sicilia Outlet Village launches its smart shopping service,"Wednesday, 25 November 2020, 12:43","In the time of COVID-19, the closure of traditional retail channels for clothing and accessories has driven online shopping and fashion e-commerce sites are constantly gaining ground over physical..."
Malta Chamber of SMEs officially launches Black Friday,"Monday, 23 November 2020, 11:57","The Chamber of SMEs has officially launched Black Friday which has become a staple for the festive shopping period. Paul Abela, the President of the Chamber, addressed a press conference on..."
"Malta Bankers’ Association annual seminar goes online and 
focuses on banking in a digital age","Monday, 23 November 2020, 11:30","The Malta Bankers’ Association (MBA) is organising its annual seminar, entitled “Banking in the Digital Age – An Inclusive Transformation for a Changing World” on Wednesday 25..."
Markets end mixed,"Monday, 23 November 2020, 11:04","Wall Street closes lower as surging COVID-19 cases offset vaccine hopes U.S. stocks closed lower on Friday as investors wrestled with fiscal stimulus developments, concerns over a lengthy rollout..."
BPW Malta and MFWS sign memorandum of understanding to work on Charter of the Girl’s Rights,"Friday, 20 November 2020, 15:00",Business & Professional Women (Valletta) Malta (BPW) and the Malta Foundation for the Wellbeing of Society (MFWS) are pleased to announce that they have signed a Memorandum of Understanding (MOU)...
Covid-19: Mdina Glass furnaces off for the longest time in history,"Friday, 20 November 2020, 14:07","As a result of COVID-19, iconic local brand Mdina Glass has seen its glass furnaces turned off for nine months this year, the longest in its 52-year history. “Keeping the furnaces (oven) on..."
Malta Stock Exchange to allow for the listing of REITs,"Friday, 20 November 2020, 11:49",The Malta Stock Exchange has recently been given approval by the MFSA to change its Bye Laws to allow for the listing of REITs or Real Estate Investment Trusts. REITs are...
Calamatta Cuschieri achieves ISO 9001 certification from Lloyds,"Friday, 20 November 2020, 11:16","Calamatta Cuschieri Investment Services Limited has been certified with ISO 9001, the gold standard in customer service. Recognised globally, the ISO 9000 family of quality management systems is..."
Vodafone Malta rebrands as ‘Epic’,"Tuesday, 17 November 2020, 10:35",Vodafone Malta will from now on be known as ‘epic’ after the telecommunications company announced a widespread re-branding on Tuesday. With the trademark Vodafone red being replaced...
S&P marks record close,"Monday, 16 November 2020, 14:49",The S&P 500 notched a record closing high on Friday with upbeat earnings reports helping to drive optimism about the economy along with hopes for successful COVID-19 vaccines. The Dow Jones...
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
Malta Business Weekly interview: Tax deferrals are only delaying the burden – Paul Fenech,"Friday, 13 November 2020, 16:41","The tax deferrals announced as part of the COVID-19 recovery package only delayed the burden, Paul Fenech, President of the Republic Street Business Community Association said. Speaking to The..."
"MIDI sponsorship of €230,000 for the Qui-Si-Sana playgrounds","Friday, 13 November 2020, 16:19",MIDI plc in collaboration with the Sliema Local Council have embarked on a project to refurbish the playground located within the George Bonello Du Puis gardens at Qui-Si-Sana. The first phase of the...
Stocks reverse earlier gains,"Friday, 13 November 2020, 15:54",Wall Street ended sharply lower on Thursday as U.S. coronavirus infections surged and investors weighed the timeline for the mass rollout of an effective vaccine. The Dow Jones Industrial Average fell...
Win an iPhone 12 and more this Black Friday with Dragonara Online,"Friday, 13 November 2020, 15:30","Fresh on the market, the iPhone 12 is definitely on everyone’s wish list, and it could be yours when you register, deposit and play with Dragonara Online, Malta’s most loved online..."
Stock markets in COVID-19 times and technology equities to be discussed during a MeDirect webinar,"Friday, 13 November 2020, 09:32","MeDirect Bank is organising a third medirectalk investment webinar for 2020 which will be providing an expert overview of the stock markets in view of COVID-19, as well as an analysis of technology..."
Tech retakes spotlight,"Thursday, 12 November 2020, 15:51",Investors changed gears on Wednesday and switched back into technology stocks after a round of profit-taking from the economically-sensitive sectors that rallied this week the announcement of a 90%...
MeDirect Bank launches an innovative and user-friendly online banking platform,"Thursday, 12 November 2020, 09:22","MeDirect Bank launched a new innovative online banking portal to provide its clients with a modern internet banking experience and intelligent online self-service tools. The new desktop version,..."
US stocks retreat as technology loses favour,"Wednesday, 11 November 2020, 14:45","Investors sold off technology stocks that benefited from virus lockdowns on Tuesday, instead favouring sectors that have suffered the most during the pandemic on hopes a COVID-19 vaccine will turn the..."
Win cash and a car with this year’s Christmas Grand Lottery,"Wednesday, 11 November 2020, 09:18","Maltco Lotteries is thrilled to announce, that this year's Christmas Grand Lottery is offering fresh incentives and a guaranteed top prize winner. For this Christmas' edition, players will get the..."
MFSA publishes revised Loan Funds Rules Framework,"Tuesday, 10 November 2020, 18:47",The Malta Financial Services Authority (MFSA) is today publishing an updated version of the Standard Licence Conditions applicable to Collective Investment Schemes authorised to invest through...
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
